geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-168256	Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168256	1234	67	34.48156956004756	1.9430670023104246	1.3710377853079908e-9	2.184063191995629e-6	10094;10095;10109;10376;10462;1072;10871;11006;1439;1476;1973;2205;2213;226;2280;23406;26578;2923;29952;29992;302;3109;3113;3115;3117;3118;3119;3122;3127;3146;3181;3312;3726;387;3958;4332;4869;4904;51316;5315;55819;55832;55845;5685;5698;5721;5880;64170;64718;7076;71;712;7322;7431;7879;805;832;834;837;8635;8905;911;912;9246;9450;9550;963	CLEC10A;HLA-DQA1;FCER1A;HLA-DQA2;HLA-DPA1;YBX1;HLA-DQB1;FKBP1A;NPM1;HLA-DMB;HLA-DPB1;RHOA;C1QA;RNF130;CALM2;HLA-DRA;ACTG1;CD1C;ARPC2;LILRB4;TUBA1B;CD53;HMGB1;LY86;ATP6V1G1;PLAC8;MNDA;COTL1;RAB7A;HSPA8;ANXA2;BRK1;PKM;RAC2;FCGR2B;HLA-DRB5;HNRNPA2B1;CD1D;TIMP1;UBE2L6;CSF2RB;CAND1;ALDOA;JUNB;PILRA;CASP4;RNASET2;AP1S2;OSTF1;UNKL;LGALS3;PSMB9;EIF4A1;PSMA4;CD300C;UBE2D2;DPP7;PSME2;CAPZB;ARPC1B;CASP1;CFL1;CARD9;PDIA3;VIM;CSTB;ARPC3
R-HSA-202430	Translocation of ZAP-70 to Immunological synapse	http://reactome.org/PathwayBrowser/#/R-HSA-202430	13	7	0.3632580261593341	19.270049099836335	1.710850070632481e-8	1.3626920812587712e-5	3113;3115;3117;3118;3119;3122;3127	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DRA;HLA-DRB5
R-HSA-389948	PD-1 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-389948	15	7	0.41914387633769323	16.700709219858155	6.120987650771898e-8	3.2502444425598775e-5	3113;3115;3117;3118;3119;3122;3127	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DRA;HLA-DRB5
R-HSA-202427	Phosphorylation of CD3 and TCR zeta chains	http://reactome.org/PathwayBrowser/#/R-HSA-202427	17	7	0.4750297265160523	14.735919899874844	1.7649609254395517e-7	7.028956885563015e-5	3113;3115;3117;3118;3119;3122;3127	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DRA;HLA-DRB5
R-HSA-2132295	MHC class II antigen presentation	http://reactome.org/PathwayBrowser/#/R-HSA-2132295	78	12	2.1795481569560047	5.505728314238953	1.2673404695508082e-6	3.6540051196822486e-4	10376;3109;3113;3115;3117;3118;3119;3122;3127;7879;832;8905	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;HLA-DMB;HLA-DPB1;HLA-DRA;TUBA1B;RAB7A;HLA-DRB5;AP1S2;CAPZB
R-HSA-202433	Generation of second messenger molecules	http://reactome.org/PathwayBrowser/#/R-HSA-202433	22	7	0.6147443519619501	11.386847195357833	1.3762731147579091e-6	3.6540051196822486e-4	3113;3115;3117;3118;3119;3122;3127	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DRA;HLA-DRB5
R-HSA-202424	Downstream TCR signaling	http://reactome.org/PathwayBrowser/#/R-HSA-202424	79	11	2.2074910820451845	4.983032588203608	9.742365142843974e-6	0.002217083953221493	3113;3115;3117;3118;3119;3122;3127;5685;5698;5721;7322	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DRA;HLA-DRB5;PSMB9;PSMA4;UBE2D2;PSME2
R-HSA-422475	Axon guidance	http://reactome.org/PathwayBrowser/#/R-HSA-422475	295	22	8.243162901307967	2.6688784709700686	1.79801284117394e-5	0.0035802930699876077	10094;10095;10109;10376;103910;10627;1072;26986;3312;387;389;3921;5685;5698;5721;6124;6125;6138;6159;6193;71;9046	RPL5;RPL4;RHOA;ACTG1;ARPC2;TUBA1B;RPSA;RHOC;HSPA8;RPS5;RPL29;RPL15;MYL12B;MYL12A;PSMB9;PSMA4;DOK2;PSME2;ARPC1B;CFL1;PABPC1;ARPC3
R-HSA-168249	Innate Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168249	697	38	19.476218787158146	1.951097408345798	2.240242297752837e-5	0.003755549489375088	10094;10095;10109;10462;1072;1476;2205;226;23406;26578;29952;302;3146;3312;387;3958;4332;51316;5315;55832;55845;5685;5698;5721;5880;64170;71;712;7322;7879;805;834;837;8635;9246;9450;9550;963	CLEC10A;FCER1A;RHOA;C1QA;CALM2;ACTG1;ARPC2;CD53;HMGB1;LY86;ATP6V1G1;PLAC8;MNDA;COTL1;RAB7A;HSPA8;ANXA2;BRK1;PKM;RAC2;UBE2L6;CAND1;ALDOA;CASP4;RNASET2;OSTF1;LGALS3;PSMB9;PSMA4;UBE2D2;DPP7;PSME2;ARPC1B;CASP1;CFL1;CARD9;CSTB;ARPC3
R-HSA-9675108	Nervous system development	http://reactome.org/PathwayBrowser/#/R-HSA-9675108	301	22	8.410820451843044	2.6156782356683395	2.4681062939680736e-5	0.003755549489375088	10094;10095;10109;10376;103910;10627;1072;26986;3312;387;389;3921;5685;5698;5721;6124;6125;6138;6159;6193;71;9046	RPL5;RPL4;RHOA;ACTG1;ARPC2;TUBA1B;RPSA;RHOC;HSPA8;RPS5;RPL29;RPL15;MYL12B;MYL12A;PSMB9;PSMA4;DOK2;PSME2;ARPC1B;CFL1;PABPC1;ARPC3
