geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-351202	Metabolism of polyamines	http://reactome.org/PathwayBrowser/#/R-HSA-351202	49	29	12.604439159730479	2.3007767051350587	6.599934786671264e-7	5.748925263995907e-4	10213;196743;262;4947;4953;5682;5684;5685;5686;5687;5689;5693;5694;5695;5696;5698;5701;5704;5706;5709;5710;5713;5714;5718;5720;6611;6723;9491;9861	PSMA1;PSMD8;PSMD3;PSMC2;PSMA3;SRM;ODC1;AMD1;SMS;PSMD6;PSMC6;PSMC4;PSMB8;PSMD14;PSMB1;PSMF1;PSMA4;PSMB5;PSME1;PSMA6;PAOX;PSMB9;PSMB6;PSMB7;PSMA5;PSMD7;PSMD4;OAZ2;PSMD12
R-HSA-392499	Metabolism of proteins	http://reactome.org/PathwayBrowser/#/R-HSA-392499	1132	355	291.188267934998	1.219142524242243	7.217734166975401e-7	5.748925263995907e-4	10054;10055;10056;10072;10102;10130;10159;10175;10195;10213;10282;10342;10352;10376;10474;10477;10480;10489;10528;10540;10559;10574;10575;10576;10640;10667;10670;10671;1069;10694;10884;10920;10945;10952;10959;10960;10972;10980;10981;10987;11014;11047;11070;11222;11236;11315;11316;1155;116150;124995;126433;128869;1315;136;142;146712;149951;1603;1616;1643;1650;1655;1725;1802;1933;1937;1938;1965;1967;197370;1974;1975;1984;199857;200845;200916;2193;22818;22820;22931;22948;23107;23256;23412;23423;23471;23478;23555;23708;23770;2517;25793;25879;2589;25941;26118;26263;26272;26284;26286;26589;267;2673;26986;27068;27090;2720;27338;27430;2769;2787;2788;28972;28973;29074;29086;29088;29093;29099;2923;2934;29880;3066;3093;3183;3190;3312;340348;3490;3646;3703;375;375056;377;378;387;3921;3998;402;4069;4218;4221;4247;4609;4869;4924;4927;4928;5018;50813;51009;51065;51067;51073;51081;51107;5111;51122;51128;51138;51143;51227;51246;51318;51377;51386;51397;51504;51552;51602;51604;51649;51676;51720;5201;5202;5238;53916;54187;5423;54461;5464;54732;54948;54951;55037;5537;55527;55611;55624;55699;55768;55854;55860;55907;5610;5682;5684;5685;5686;5687;5689;5693;5694;56945;5695;5696;5698;5701;57038;5704;5706;5709;5710;57129;5713;5714;5718;5720;57542;5828;58477;58485;5861;5867;5868;5875;5878;5885;5886;5887;5931;5987;6048;60488;60559;6117;6124;6125;6184;6185;6396;64708;64960;64963;64965;64976;64978;64983;6500;65003;65005;65008;6612;6613;6675;6726;6727;6728;6729;6730;6731;6745;6746;6747;6885;6903;6950;7150;7184;7186;7203;7284;7295;7319;7320;7322;7323;7324;7326;7329;7332;7334;7336;7341;7347;740;7411;7415;7416;7417;7419;7428;7458;7818;7879;79139;79577;79644;79731;801;80344;805;8073;8078;811;813;821;830;832;83746;84061;84259;84261;84545;8459;84861;8533;86;8607;8655;8664;8665;8667;8668;8703;8724;8733;8766;8813;8841;8883;8891;8892;8894;8915;90701;908;9097;91433;91869;9230;92399;93611;9363;9476;9491;9521;9526;966;9669;9695;9789;9801;9861	LYZ;GNG7;PPA1;CD59;CCT8;TRAM1;SNX3;MRPL3;SPCS1;TMED2;PDIA6;VDAC1;SPCS2;PDIA3;RAB11A;CCT2;NPM1;RAB7A;EIF4A2;DDOST;EIF3L;PSMA1;TUBA1B;MRPS27;PSMD8;FARS2;CCT6A;HSPA8;PFDN1;VBP1;CALM2;ARL2;TMED10;EIF5B;PARP1;KDELR2;SRP9;PSMD3;HDAC2;RUVBL1;DERL1;CALR;MYC;FUCA1;COPS5;PPP6C;UCHL3;OXA1L;PSMC2;UBE2A;RPN2;HNRNPK;ATP6AP2;PSMA3;APH1A;UBE2D3;DCTN2;DDX5;EIF3D;HNRNPC;EIF3H;CCT7;SEC11C;COMMD3;ACTR10;CNIH1;CALU;CCT3;EIF4B;TMED9;NAE1;ADRM1;SUMO1;HSP90B1;ST6GALNAC4;ASB2;ARF4;RPS27L;SRP54;ARF1;DAXX;TCP1;NOP56;RAB33A;CCT4;EIF3I;MRPS18B;UBE2G1;COPZ1;PARK7;EIF3F;RAB5C;EIF3E;MRPL18;SRP72;DAD1;GSN;VDAC2;EIF2S1;COPS8;TUFM;PPA2;SRP19;CDC73;UBE2L3;VHL;SRPRB;SCFD1;EIF4H;MIA3;SSR2;SSR3;ADORA2B;TMED3;PSMD6;IGFBP7;CAPZB;MRPL9;PSMC6;LMAN1;MRPL22;TSPAN15;PSMC4;UBE2V2;MEN1;SEC13;MRPS23;TADA3;UBE2I;PIGP;DPH2;UBE2E1;EEF2;MRPS15;OTUB1;WARS2;PSMB8;COPS6;SPCS3;NANS;IARS2;COPS4;UAP1;RAB4A;TRMT112;RPL22L1;PSMD14;COMMD8;SRD5A3;PFDN2;HDAC3;PSMB1;UBE2D2;DPM1;DHPS;SRP14;NAPSA;CALM1;UBE2N;LMAN2;PSMF1;PTP4A2;COMMD10;CMAS;DYNLL1;COMMD2;NGLY1;PSMA4;FBXO7;CCT5;EIF2S2;DDB2;ERAL1;GLB1;COMMD9;VDAC3;KDELR1;RAD23B;TPST2;TOP1;SUMO2;FBXO27;EIF3M;RAB5A;PSMB5;PSME1;COPS3;MRPL47;BABAM1;RAB32;RNF139;CAPZA2;TBCC;EEF1B2;MRPL4;PSMA6;SUMO3;MRPL49;MRPL43;RRAGA;PGM3;MRPL1;EEF1G;PEX2;RHOA;DAP3;PSMB9;MRPS7;RAD21;RPL5;PABPC1;DERL2;ACTL6A;FKBP8;TRAPPC1;TPGS2;ARF3;EIF5A;PTCD3;MRPS22;NOP58;COPG1;PCNA;ALG14;MRPL15;UBA2;EIF2B1;NARS2;RAB8A;EEF1E1;GNA15;SEC11A;MGAT2;SSR1;UBE2K;COPS7A;RAB11B;SKP1;RAB14;KLHL22;TRIM27;TSPAN33;TSFM;MRPS9;TMEM115;MRPL35;MAP3K7;SAE1;VCP;PSMB6;RARS2;TFG;MRPL16;RFT1;FBXO44;MPDU1;SEC61B;FBXO4;PIGU;EDEM1;WSB1;AMFR;ZC3H15;NUCB1;GALNT1;FBXW5;EIF2B3;UBE2S;RBBP7;SRP68;MRPS30;RPN1;PSMB7;TXN;RABGGTA;MRPL19;CETN2;MRPL10;PSMA5;CANX;COPS7B;MRPS35;GPAA1;TBCB;FBXO22;COPB1;TRAF2;B4GALT3;FARSB;SAR1B;RPA1;B3GNTL1;GSPT2;ARFGAP3;RAB4B;RPSA;UCHL5;UBE2E3;MAGT1;STT3A;PSMD7;MRPL11;FBXW9;NUS1;FEM1A;KCTD6;RCCD1;MRPL46;COPE;DCAF13;MRPL38;ALG5;GNG5;MRPS11;PSMD4;BET1;KLHL42;EXOC5;POMGNT1;SHISA5;MRPL32;USP5;GFPT1;NUP88;COMMD7;EIF2AK2;MRPL40;PIGT;USP14;L3MBTL2;UIMC1;RAB18;NUP98;DCTN6;DPP3;MRRF;DYNC1LI1;RAB1A;FARSA;LRRC41;YARS2;ALG3;MAT2B;RPL4;EIF2B2;DCUN1D5;PSMD12;NSMCE1;RNF5;BCL10;POLB;RAD23A;SLC35A1;DCAF11;UBE2B
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	http://reactome.org/PathwayBrowser/#/R-HSA-72203	248	97	63.79389615537059	1.52052164620508	1.4282544672517344e-6	7.054081949487241e-4	10084;10236;10262;10283;10284;10450;10569;10914;10921;10978;11051;11052;11157;1479;154007;1655;1660;199746;220988;22826;22827;22938;23350;23451;23658;26017;26121;27238;27316;2963;3178;3181;3183;3185;3187;3188;3190;3312;3550;4116;4236;4670;4904;4927;4928;5093;5094;51634;51645;51692;51747;51759;53938;53981;5411;5432;5434;5437;5511;5546;55660;55696;56259;5725;57819;6396;6426;6427;6428;6432;65109;6626;6628;6629;6631;6633;7737;7884;79171;79228;79622;80145;81608;8175;8233;84248;84271;84950;84991;85437;8559;8683;8899;9128;9410;9589;9775	SRSF2;HNRNPR;HSPA8;YBX1;DNAJC8;RBMX;SNRPA;HNRNPA2B1;PPIL1;HNRNPK;DDX5;HNRNPC;EIF4A3;HNRNPM;ZCRB1;PCBP1;POLR2C;PCBP2;HNRNPF;SNRNP25;WTAP;SNRNP40;SRSF3;CTNNBL1;SF3B1;PPP1R8;SEC13;SRSF7;SNRPB;HNRNPA1;U2AF1L4;CWC27;PRCC;SRSF1;UPF3B;SAP18;CLP1;PNN;PAPOLA;HNRNPH2;SRSF9;THOC7;CPSF6;PRPF4;PRPF40A;SLBP;SNW1;RNPS1;POLR2E;MAGOH;THOC6;SF3A2;CPSF2;ZRSR2;NUDT21;SNRPB2;C9orf78;LSM5;U2SURP;IK;PUF60;LSM6;PRPF38A;PRPF18;POLDIP3;RBM22;RBM17;MFAP1;HNRNPA3;LSM2;PPIE;RBM42;SNRPD2;SF3B4;GTF2F2;CPSF3;SNRPC;SLU7;NUP88;POLR2H;FYTTD1;RNF113A;RBMX2;LUC7L3;CSTF3;DHX9;NUP98;PRPF31;PPIL3;GPKOW;PRPF4B;PQBP1;PTBP1;FAM32A;SNRNP48;FIP1L1;HNRNPH1
R-HSA-72172	mRNA Splicing	http://reactome.org/PathwayBrowser/#/R-HSA-72172	196	80	50.417756638921915	1.5867425552655579	1.7712697927149382e-6	7.054081949487241e-4	10084;10236;10262;10283;10284;10450;10569;10921;11157;154007;1655;1660;199746;220988;22826;22827;22938;23350;23451;23658;26017;26121;27238;27316;2963;3178;3181;3183;3185;3187;3188;3190;3312;3550;4116;4236;4670;4904;5093;5094;51634;51645;51747;51759;53938;5411;5432;5434;5437;5511;5546;55660;55696;56259;5725;57819;6426;6427;6428;6432;65109;6626;6628;6629;6631;6633;7737;79171;79622;8175;8233;84950;84991;85437;8559;8683;8899;9128;9410;9775	SRSF2;HNRNPR;HSPA8;YBX1;DNAJC8;RBMX;SNRPA;HNRNPA2B1;PPIL1;HNRNPK;DDX5;HNRNPC;EIF4A3;HNRNPM;ZCRB1;PCBP1;POLR2C;PCBP2;HNRNPF;SNRNP25;SNRNP40;SRSF3;CTNNBL1;SF3B1;PPP1R8;SRSF7;SNRPB;HNRNPA1;U2AF1L4;CWC27;PRCC;SRSF1;UPF3B;SAP18;PNN;HNRNPH2;SRSF9;PRPF4;PRPF40A;SNW1;RNPS1;POLR2E;MAGOH;SF3A2;ZRSR2;SNRPB2;C9orf78;LSM5;U2SURP;IK;PUF60;LSM6;PRPF38A;PRPF18;RBM22;RBM17;MFAP1;HNRNPA3;LSM2;PPIE;RBM42;SNRPD2;SF3B4;GTF2F2;SNRPC;SLU7;POLR2H;RNF113A;RBMX2;LUC7L3;DHX9;PRPF31;PPIL3;GPKOW;PRPF4B;PQBP1;PTBP1;FAM32A;SNRNP48;HNRNPH1
R-HSA-72163	mRNA Splicing - Major Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-72163	188	76	48.35988902100674	1.5715503393108874	4.956801846467978e-6	0.0015792370682846978	10084;10236;10262;10283;10284;10450;10569;10921;11157;1655;1660;199746;220988;22826;22827;22938;23350;23451;23658;26017;26121;27238;27316;2963;3178;3181;3183;3185;3187;3188;3190;3312;3550;4116;4236;4670;4904;5093;5094;51634;51645;51747;51759;53938;5411;5432;5434;5437;5511;5546;55660;55696;56259;5725;57819;6426;6427;6428;6432;65109;6626;6628;6629;6631;6633;7737;79171;8175;84950;84991;8559;8683;8899;9128;9410;9775	SRSF2;HNRNPR;HSPA8;YBX1;DNAJC8;RBMX;SNRPA;HNRNPA2B1;PPIL1;HNRNPK;DDX5;HNRNPC;EIF4A3;HNRNPM;PCBP1;POLR2C;PCBP2;HNRNPF;SNRNP40;SRSF3;CTNNBL1;SF3B1;PPP1R8;SRSF7;SNRPB;HNRNPA1;U2AF1L4;CWC27;PRCC;SRSF1;UPF3B;SAP18;PNN;HNRNPH2;SRSF9;PRPF4;PRPF40A;SNW1;RNPS1;POLR2E;MAGOH;SF3A2;SNRPB2;C9orf78;LSM5;U2SURP;IK;PUF60;LSM6;PRPF38A;PRPF18;RBM22;RBM17;MFAP1;HNRNPA3;LSM2;PPIE;RBM42;SNRPD2;SF3B4;GTF2F2;SNRPC;SLU7;POLR2H;RNF113A;RBMX2;LUC7L3;DHX9;PRPF31;PPIL3;GPKOW;PRPF4B;PQBP1;PTBP1;FAM32A;HNRNPH1
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	http://reactome.org/PathwayBrowser/#/R-HSA-350562	44	25	11.318271898533492	2.208817761591259	1.08331461595231e-5	0.002785505033156085	10213;4947;4953;5682;5684;5685;5686;5687;5689;5693;5694;5695;5696;5698;5701;5704;5706;5709;5710;5713;5714;5718;5720;9491;9861	PSMA1;PSMD8;PSMD3;PSMC2;PSMA3;ODC1;PSMD6;PSMC6;PSMC4;PSMB8;PSMD14;PSMB1;PSMF1;PSMA4;PSMB5;PSME1;PSMA6;PSMB9;PSMB6;PSMB7;PSMA5;PSMD7;PSMD4;OAZ2;PSMD12
R-HSA-69206	G1/S Transition	http://reactome.org/PathwayBrowser/#/R-HSA-69206	82	39	21.093143083630597	1.848942087263708	1.4414316049491927e-5	0.002785505033156085	1019;10213;10926;1719;1874;23649;4172;4174;4609;5000;5111;5515;5518;5682;5684;5685;5686;5687;5689;5693;5694;5695;5696;5698;5701;5704;5706;5709;5710;5713;5714;5718;5720;5928;595;6117;6500;9491;9861	PSMA1;PSMD8;PSMD3;MYC;PSMC2;PSMA3;MCM5;RBBP4;PSMD6;PSMC6;PSMC4;PSMB8;CDK4;PSMD14;PSMB1;POLA2;PSMF1;PSMA4;PSMB5;PSME1;PSMA6;CCND1;PSMB9;DHFR;PCNA;DBF4;SKP1;PSMB6;PPP2R1A;PPP2CA;PSMB7;PSMA5;RPA1;PSMD7;ORC4;PSMD4;MCM3;E2F4;PSMD12
R-HSA-5678895	Defective CFTR causes cystic fibrosis	http://reactome.org/PathwayBrowser/#/R-HSA-5678895	55	29	14.147839873166864	2.0497828827566886	1.5633630183512674e-5	0.002785505033156085	10213;27248;51009;5682;5684;5685;5686;5687;5689;5693;5694;5695;5696;5698;5701;5704;5706;5709;5710;5713;5714;5718;5720;6048;7415;79139;91319;9491;9861	DERL3;PSMA1;PSMD8;PSMD3;DERL1;PSMC2;PSMA3;ERLEC1;PSMD6;PSMC6;PSMC4;PSMB8;PSMD14;PSMB1;PSMF1;PSMA4;PSMB5;PSME1;PSMA6;PSMB9;DERL2;VCP;PSMB6;PSMB7;PSMA5;PSMD7;PSMD4;PSMD12;RNF5
R-HSA-70895	Branched-chain amino acid catabolism	http://reactome.org/PathwayBrowser/#/R-HSA-70895	17	13	4.372968688069758	2.9728088461887068	1.6690344408728544e-5	0.002785505033156085	10295;11112;152926;1738;1892;26275;27034;38;549;56922;593;594;64087	HIBCH;BCKDHB;ACAD8;ECHS1;MCCC1;ACAT1;MCCC2;HIBADH;DLD;BCKDK;PPM1K;AUH;BCKDHA
R-HSA-72766	Translation	http://reactome.org/PathwayBrowser/#/R-HSA-72766	251	94	64.56559651208879	1.4558837070823023	1.7632876066174503e-5	0.002785505033156085	10056;10102;10352;10480;10667;10884;10952;11222;124995;1650;1933;1937;1938;1965;1967;1974;1975;200916;2193;23107;23471;23478;23708;26284;26589;26986;27068;28972;28973;29074;29088;29093;3646;3921;5018;51065;51067;51073;51081;51318;51386;51504;51649;5464;54948;55037;55699;56945;57038;57129;58477;60488;60559;6124;6125;6184;6185;64960;64963;64965;64976;64978;64983;65003;65005;65008;6726;6727;6728;6729;6730;6731;6745;6746;6747;7284;740;7458;7818;79731;84545;8664;8665;8667;8668;8891;8892;8894;90701;92399;9521;9669;9789;9801	PPA1;TRAM1;MRPL3;SPCS1;SPCS2;EIF4A2;DDOST;EIF3L;MRPS27;FARS2;EIF5B;SRP9;OXA1L;RPN2;EIF3D;EIF3H;SEC11C;EIF4B;RPS27L;SRP54;EIF3I;MRPS18B;EIF3F;EIF3E;MRPL18;SRP72;EIF2S1;TUFM;PPA2;SRP19;SRPRB;EIF4H;SSR2;SSR3;MRPL9;MRPL22;MRPS23;EEF2;MRPS15;WARS2;SPCS3;IARS2;TRMT112;RPL22L1;SRP14;EIF2S2;ERAL1;EIF3M;MRPL47;EEF1B2;MRPL4;MRPL49;MRPL43;MRPL1;EEF1G;DAP3;MRPS7;RPL5;PABPC1;PTCD3;MRPS22;MRPL15;EIF2B1;NARS2;EEF1E1;SEC11A;SSR1;TSFM;MRPS9;MRPL35;RARS2;MRPL16;SEC61B;EIF2B3;SRP68;MRPS30;RPN1;MRPL19;MRPL10;MRPS35;FARSB;GSPT2;RPSA;MRPL11;MRPL46;MRPL38;MRPS11;MRPL32;MRPL40;MRRF;FARSA;YARS2;RPL4;EIF2B2
