userId	geneSymbol	geneName	entrezgene	gLink
CD7	CD7	CD7 molecule	924	https://www.ncbi.nlm.nih.gov/gene/?term=924
IL32	IL32	interleukin 32	9235	https://www.ncbi.nlm.nih.gov/gene/?term=9235
PTPRCAP	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein	5790	https://www.ncbi.nlm.nih.gov/gene/?term=5790
CTSW	CTSW	cathepsin W	1521	https://www.ncbi.nlm.nih.gov/gene/?term=1521
IFITM1	IFITM1	interferon induced transmembrane protein 1	8519	https://www.ncbi.nlm.nih.gov/gene/?term=8519
IL2RG	IL2RG	interleukin 2 receptor subunit gamma	3561	https://www.ncbi.nlm.nih.gov/gene/?term=3561
GATA3	GATA3	GATA binding protein 3	2625	https://www.ncbi.nlm.nih.gov/gene/?term=2625
LCK	LCK	LCK proto-oncogene, Src family tyrosine kinase	3932	https://www.ncbi.nlm.nih.gov/gene/?term=3932
HOPX	HOPX	HOP homeobox	84525	https://www.ncbi.nlm.nih.gov/gene/?term=84525
LTB	LTB	lymphotoxin beta	4050	https://www.ncbi.nlm.nih.gov/gene/?term=4050
EVL	EVL	Enah/Vasp-like	51466	https://www.ncbi.nlm.nih.gov/gene/?term=51466
CD69	CD69	CD69 molecule	969	https://www.ncbi.nlm.nih.gov/gene/?term=969
ACAP1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	https://www.ncbi.nlm.nih.gov/gene/?term=9744
SELL	SELL	selectin L	6402	https://www.ncbi.nlm.nih.gov/gene/?term=6402
TBC1D10C	TBC1D10C	TBC1 domain family member 10C	374403	https://www.ncbi.nlm.nih.gov/gene/?term=374403
CD3E	CD3E	CD3 epsilon subunit of T-cell receptor complex	916	https://www.ncbi.nlm.nih.gov/gene/?term=916
TNFRSF18	TNFRSF18	TNF receptor superfamily member 18	8784	https://www.ncbi.nlm.nih.gov/gene/?term=8784
GYPC	GYPC	glycophorin C (Gerbich blood group)	2995	https://www.ncbi.nlm.nih.gov/gene/?term=2995
ANKRD12	ANKRD12	ankyrin repeat domain 12	23253	https://www.ncbi.nlm.nih.gov/gene/?term=23253
OCIAD2	OCIAD2	OCIA domain containing 2	132299	https://www.ncbi.nlm.nih.gov/gene/?term=132299
FLT3LG	FLT3LG	fms related receptor tyrosine kinase 3 ligand	2323	https://www.ncbi.nlm.nih.gov/gene/?term=2323
PBXIP1	PBXIP1	PBX homeobox interacting protein 1	57326	https://www.ncbi.nlm.nih.gov/gene/?term=57326
ARHGAP15	ARHGAP15	Rho GTPase activating protein 15	55843	https://www.ncbi.nlm.nih.gov/gene/?term=55843
IL7R	IL7R	interleukin 7 receptor	3575	https://www.ncbi.nlm.nih.gov/gene/?term=3575
LDHB	LDHB	lactate dehydrogenase B	3945	https://www.ncbi.nlm.nih.gov/gene/?term=3945
