userId	geneSymbol	geneName	entrezgene	gLink
LYZ	LYZ	lysozyme	4069	https://www.ncbi.nlm.nih.gov/gene/?term=4069
CLEC9A	CLEC9A	C-type lectin domain containing 9A	283420	https://www.ncbi.nlm.nih.gov/gene/?term=283420
HLA-DOB	HLA-DOB	major histocompatibility complex, class II, DO beta	3112	https://www.ncbi.nlm.nih.gov/gene/?term=3112
DNASE1L3	DNASE1L3	deoxyribonuclease 1 like 3	1776	https://www.ncbi.nlm.nih.gov/gene/?term=1776
SERPINF2	SERPINF2	serpin family F member 2	5345	https://www.ncbi.nlm.nih.gov/gene/?term=5345
C1orf54	C1orf54	chromosome 1 open reading frame 54	79630	https://www.ncbi.nlm.nih.gov/gene/?term=79630
HMGA1	HMGA1	high mobility group AT-hook 1	3159	https://www.ncbi.nlm.nih.gov/gene/?term=3159
NDRG2	NDRG2	NDRG family member 2	57447	https://www.ncbi.nlm.nih.gov/gene/?term=57447
GNG7	GNG7	G protein subunit gamma 7	2788	https://www.ncbi.nlm.nih.gov/gene/?term=2788
GYPC	GYPC	glycophorin C (Gerbich blood group)	2995	https://www.ncbi.nlm.nih.gov/gene/?term=2995
IDO1	IDO1	indoleamine 2,3-dioxygenase 1	3620	https://www.ncbi.nlm.nih.gov/gene/?term=3620
SERPINF1	SERPINF1	serpin family F member 1	5176	https://www.ncbi.nlm.nih.gov/gene/?term=5176
IRF8	IRF8	interferon regulatory factor 8	3394	https://www.ncbi.nlm.nih.gov/gene/?term=3394
PPA1	PPA1	inorganic pyrophosphatase 1	5464	https://www.ncbi.nlm.nih.gov/gene/?term=5464
TMEM14A	TMEM14A	transmembrane protein 14A	28978	https://www.ncbi.nlm.nih.gov/gene/?term=28978
BASP1	BASP1	brain abundant membrane attached signal protein 1	10409	https://www.ncbi.nlm.nih.gov/gene/?term=10409
PPM1J	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J	333926	https://www.ncbi.nlm.nih.gov/gene/?term=333926
GDI2	GDI2	GDP dissociation inhibitor 2	2665	https://www.ncbi.nlm.nih.gov/gene/?term=2665
ADA	ADA	adenosine deaminase	100	https://www.ncbi.nlm.nih.gov/gene/?term=100
DSTN	DSTN	destrin, actin depolymerizing factor	11034	https://www.ncbi.nlm.nih.gov/gene/?term=11034
PPT1	PPT1	palmitoyl-protein thioesterase 1	5538	https://www.ncbi.nlm.nih.gov/gene/?term=5538
CYB5R3	CYB5R3	cytochrome b5 reductase 3	1727	https://www.ncbi.nlm.nih.gov/gene/?term=1727
PEBP1	PEBP1	phosphatidylethanolamine binding protein 1	5037	https://www.ncbi.nlm.nih.gov/gene/?term=5037
BATF3	BATF3	basic leucine zipper ATF-like transcription factor 3	55509	https://www.ncbi.nlm.nih.gov/gene/?term=55509
ITM2C	ITM2C	integral membrane protein 2C	81618	https://www.ncbi.nlm.nih.gov/gene/?term=81618
NME4	NME4	NME/NM23 nucleoside diphosphate kinase 4	4833	https://www.ncbi.nlm.nih.gov/gene/?term=4833
LGMN	LGMN	legumain	5641	https://www.ncbi.nlm.nih.gov/gene/?term=5641
DERL3	DERL3	derlin 3	91319	https://www.ncbi.nlm.nih.gov/gene/?term=91319
ACTR3	ACTR3	actin related protein 3	10096	https://www.ncbi.nlm.nih.gov/gene/?term=10096
CPNE3	CPNE3	copine 3	8895	https://www.ncbi.nlm.nih.gov/gene/?term=8895
MZB1	MZB1	marginal zone B and B1 cell specific protein	51237	https://www.ncbi.nlm.nih.gov/gene/?term=51237
CD38	CD38	CD38 molecule	952	https://www.ncbi.nlm.nih.gov/gene/?term=952
CAT	CAT	catalase	847	https://www.ncbi.nlm.nih.gov/gene/?term=847
HMGN1	HMGN1	high mobility group nucleosome binding domain 1	3150	https://www.ncbi.nlm.nih.gov/gene/?term=3150
TECR	TECR	trans-2,3-enoyl-CoA reductase	9524	https://www.ncbi.nlm.nih.gov/gene/?term=9524
GCSAM	GCSAM	germinal center associated signaling and motility	257144	https://www.ncbi.nlm.nih.gov/gene/?term=257144
CSRP1	CSRP1	cysteine and glycine rich protein 1	1465	https://www.ncbi.nlm.nih.gov/gene/?term=1465
CD79A	CD79A	CD79a molecule	973	https://www.ncbi.nlm.nih.gov/gene/?term=973
BIK	BIK	BCL2 interacting killer	638	https://www.ncbi.nlm.nih.gov/gene/?term=638
CD59	CD59	CD59 molecule (CD59 blood group)	966	https://www.ncbi.nlm.nih.gov/gene/?term=966
LDHA	LDHA	lactate dehydrogenase A	3939	https://www.ncbi.nlm.nih.gov/gene/?term=3939
PLCD1	PLCD1	phospholipase C delta 1	5333	https://www.ncbi.nlm.nih.gov/gene/?term=5333
EVL	EVL	Enah/Vasp-like	51466	https://www.ncbi.nlm.nih.gov/gene/?term=51466
OSBPL9	OSBPL9	oxysterol binding protein like 9	114883	https://www.ncbi.nlm.nih.gov/gene/?term=114883
CLIC3	CLIC3	chloride intracellular channel 3	9022	https://www.ncbi.nlm.nih.gov/gene/?term=9022
CCT8	CCT8	chaperonin containing TCP1 subunit 8	10694	https://www.ncbi.nlm.nih.gov/gene/?term=10694
VAC14	VAC14	VAC14 component of PIKFYVE complex	55697	https://www.ncbi.nlm.nih.gov/gene/?term=55697
TRAM1	TRAM1	translocation associated membrane protein 1	23471	https://www.ncbi.nlm.nih.gov/gene/?term=23471
STMN1	STMN1	stathmin 1	3925	https://www.ncbi.nlm.nih.gov/gene/?term=3925
SNX3	SNX3	sorting nexin 3	8724	https://www.ncbi.nlm.nih.gov/gene/?term=8724
UCP2	UCP2	uncoupling protein 2	7351	https://www.ncbi.nlm.nih.gov/gene/?term=7351
VOPP1	VOPP1	VOPP1 WW domain binding protein	81552	https://www.ncbi.nlm.nih.gov/gene/?term=81552
CXCR3	CXCR3	C-X-C motif chemokine receptor 3	2833	https://www.ncbi.nlm.nih.gov/gene/?term=2833
LITAF	LITAF	lipopolysaccharide induced TNF factor	9516	https://www.ncbi.nlm.nih.gov/gene/?term=9516
SRSF2	SRSF2	serine and arginine rich splicing factor 2	6427	https://www.ncbi.nlm.nih.gov/gene/?term=6427
ITGB7	ITGB7	integrin subunit beta 7	3695	https://www.ncbi.nlm.nih.gov/gene/?term=3695
CADM1	CADM1	cell adhesion molecule 1	23705	https://www.ncbi.nlm.nih.gov/gene/?term=23705
CDK2AP2	CDK2AP2	cyclin dependent kinase 2 associated protein 2	10263	https://www.ncbi.nlm.nih.gov/gene/?term=10263
MCUR1	MCUR1	mitochondrial calcium uniporter regulator 1	63933	https://www.ncbi.nlm.nih.gov/gene/?term=63933
MRPL3	MRPL3	mitochondrial ribosomal protein L3	11222	https://www.ncbi.nlm.nih.gov/gene/?term=11222
NDUFV2	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	4729	https://www.ncbi.nlm.nih.gov/gene/?term=4729
PTPRCAP	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein	5790	https://www.ncbi.nlm.nih.gov/gene/?term=5790
NDUFA9	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	4704	https://www.ncbi.nlm.nih.gov/gene/?term=4704
CCNG1	CCNG1	cyclin G1	900	https://www.ncbi.nlm.nih.gov/gene/?term=900
SPCS1	SPCS1	signal peptidase complex subunit 1	28972	https://www.ncbi.nlm.nih.gov/gene/?term=28972
TMED2	TMED2	transmembrane p24 trafficking protein 2	10959	https://www.ncbi.nlm.nih.gov/gene/?term=10959
C12orf75	C12orf75	chromosome 12 open reading frame 75	387882	https://www.ncbi.nlm.nih.gov/gene/?term=387882
PDIA6	PDIA6	protein disulfide isomerase family A member 6	10130	https://www.ncbi.nlm.nih.gov/gene/?term=10130
TPD52	TPD52	tumor protein D52	7163	https://www.ncbi.nlm.nih.gov/gene/?term=7163
VDAC1	VDAC1	voltage dependent anion channel 1	7416	https://www.ncbi.nlm.nih.gov/gene/?term=7416
BIN1	BIN1	bridging integrator 1	274	https://www.ncbi.nlm.nih.gov/gene/?term=274
FLT3	FLT3	fms related receptor tyrosine kinase 3	2322	https://www.ncbi.nlm.nih.gov/gene/?term=2322
SUSD3	SUSD3	sushi domain containing 3	203328	https://www.ncbi.nlm.nih.gov/gene/?term=203328
OFD1	OFD1	OFD1 centriole and centriolar satellite protein	8481	https://www.ncbi.nlm.nih.gov/gene/?term=8481
PDLIM1	PDLIM1	PDZ and LIM domain 1	9124	https://www.ncbi.nlm.nih.gov/gene/?term=9124
SPCS2	SPCS2	signal peptidase complex subunit 2	9789	https://www.ncbi.nlm.nih.gov/gene/?term=9789
CYP2E1	CYP2E1	cytochrome P450 family 2 subfamily E member 1	1571	https://www.ncbi.nlm.nih.gov/gene/?term=1571
TXNL1	TXNL1	thioredoxin like 1	9352	https://www.ncbi.nlm.nih.gov/gene/?term=9352
WDFY4	WDFY4	WDFY family member 4	57705	https://www.ncbi.nlm.nih.gov/gene/?term=57705
YWHAE	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	7531	https://www.ncbi.nlm.nih.gov/gene/?term=7531
PPP1CC	PPP1CC	protein phosphatase 1 catalytic subunit gamma	5501	https://www.ncbi.nlm.nih.gov/gene/?term=5501
ARL5A	ARL5A	ADP ribosylation factor like GTPase 5A	26225	https://www.ncbi.nlm.nih.gov/gene/?term=26225
IDH2	IDH2	isocitrate dehydrogenase (NADP(+)) 2	3418	https://www.ncbi.nlm.nih.gov/gene/?term=3418
PDIA4	PDIA4	protein disulfide isomerase family A member 4	9601	https://www.ncbi.nlm.nih.gov/gene/?term=9601
PDIA3	PDIA3	protein disulfide isomerase family A member 3	2923	https://www.ncbi.nlm.nih.gov/gene/?term=2923
STOML2	STOML2	stomatin like 2	30968	https://www.ncbi.nlm.nih.gov/gene/?term=30968
SEPHS2	SEPHS2	selenophosphate synthetase 2	22928	https://www.ncbi.nlm.nih.gov/gene/?term=22928
MZT2A	MZT2A	mitotic spindle organizing protein 2A	653784	https://www.ncbi.nlm.nih.gov/gene/?term=653784
PDHB	PDHB	pyruvate dehydrogenase E1 subunit beta	5162	https://www.ncbi.nlm.nih.gov/gene/?term=5162
GTF3A	GTF3A	general transcription factor IIIA	2971	https://www.ncbi.nlm.nih.gov/gene/?term=2971
TPMT	TPMT	thiopurine S-methyltransferase	7172	https://www.ncbi.nlm.nih.gov/gene/?term=7172
ABI1	ABI1	abl interactor 1	10006	https://www.ncbi.nlm.nih.gov/gene/?term=10006
TSTD1	TSTD1	thiosulfate sulfurtransferase like domain containing 1	100131187	https://www.ncbi.nlm.nih.gov/gene/?term=100131187
OSTC	OSTC	oligosaccharyltransferase complex non-catalytic subunit	58505	https://www.ncbi.nlm.nih.gov/gene/?term=58505
RAB11A	RAB11A	RAB11A, member RAS oncogene family	8766	https://www.ncbi.nlm.nih.gov/gene/?term=8766
CCT2	CCT2	chaperonin containing TCP1 subunit 2	10576	https://www.ncbi.nlm.nih.gov/gene/?term=10576
PTPN22	PTPN22	protein tyrosine phosphatase non-receptor type 22	26191	https://www.ncbi.nlm.nih.gov/gene/?term=26191
NPM1	NPM1	nucleophosmin 1	4869	https://www.ncbi.nlm.nih.gov/gene/?term=4869
AKR7A2	AKR7A2	aldo-keto reductase family 7 member A2	8574	https://www.ncbi.nlm.nih.gov/gene/?term=8574
TAP1	TAP1	transporter 1, ATP binding cassette subfamily B member	6890	https://www.ncbi.nlm.nih.gov/gene/?term=6890
CD27	CD27	CD27 molecule	939	https://www.ncbi.nlm.nih.gov/gene/?term=939
FKBP1B	FKBP1B	FKBP prolyl isomerase 1B	2281	https://www.ncbi.nlm.nih.gov/gene/?term=2281
LYPLA1	LYPLA1	lysophospholipase 1	10434	https://www.ncbi.nlm.nih.gov/gene/?term=10434
TNFRSF17	TNFRSF17	TNF receptor superfamily member 17	608	https://www.ncbi.nlm.nih.gov/gene/?term=608
DCTPP1	DCTPP1	dCTP pyrophosphatase 1	79077	https://www.ncbi.nlm.nih.gov/gene/?term=79077
DBN1	DBN1	drebrin 1	1627	https://www.ncbi.nlm.nih.gov/gene/?term=1627
SUB1	SUB1	SUB1 regulator of transcription	10923	https://www.ncbi.nlm.nih.gov/gene/?term=10923
C1orf21	C1orf21	chromosome 1 open reading frame 21	81563	https://www.ncbi.nlm.nih.gov/gene/?term=81563
OCIAD2	OCIAD2	OCIA domain containing 2	132299	https://www.ncbi.nlm.nih.gov/gene/?term=132299
APOBEC3G	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	60489	https://www.ncbi.nlm.nih.gov/gene/?term=60489
UBL7	UBL7	ubiquitin like 7	84993	https://www.ncbi.nlm.nih.gov/gene/?term=84993
TMEM230	TMEM230	transmembrane protein 230	29058	https://www.ncbi.nlm.nih.gov/gene/?term=29058
TLR10	TLR10	toll like receptor 10	81793	https://www.ncbi.nlm.nih.gov/gene/?term=81793
RAB7A	RAB7A	RAB7A, member RAS oncogene family	7879	https://www.ncbi.nlm.nih.gov/gene/?term=7879
EIF4A2	EIF4A2	eukaryotic translation initiation factor 4A2	1974	https://www.ncbi.nlm.nih.gov/gene/?term=1974
C1orf43	C1orf43	chromosome 1 open reading frame 43	25912	https://www.ncbi.nlm.nih.gov/gene/?term=25912
SLC25A3	SLC25A3	solute carrier family 25 member 3	5250	https://www.ncbi.nlm.nih.gov/gene/?term=5250
SLAMF7	SLAMF7	SLAM family member 7	57823	https://www.ncbi.nlm.nih.gov/gene/?term=57823
C1QBP	C1QBP	complement C1q binding protein	708	https://www.ncbi.nlm.nih.gov/gene/?term=708
REPIN1	REPIN1	replication initiator 1	29803	https://www.ncbi.nlm.nih.gov/gene/?term=29803
NET1	NET1	neuroepithelial cell transforming 1	10276	https://www.ncbi.nlm.nih.gov/gene/?term=10276
TMEM97	TMEM97	transmembrane protein 97	27346	https://www.ncbi.nlm.nih.gov/gene/?term=27346
ETFA	ETFA	electron transfer flavoprotein subunit alpha	2108	https://www.ncbi.nlm.nih.gov/gene/?term=2108
CNN2	CNN2	calponin 2	1265	https://www.ncbi.nlm.nih.gov/gene/?term=1265
MAGEH1	MAGEH1	MAGE family member H1	28986	https://www.ncbi.nlm.nih.gov/gene/?term=28986
LILRA4	LILRA4	leukocyte immunoglobulin like receptor A4	23547	https://www.ncbi.nlm.nih.gov/gene/?term=23547
CYB5R4	CYB5R4	cytochrome b5 reductase 4	51167	https://www.ncbi.nlm.nih.gov/gene/?term=51167
TBC1D10C	TBC1D10C	TBC1 domain family member 10C	374403	https://www.ncbi.nlm.nih.gov/gene/?term=374403
CLNS1A	CLNS1A	chloride nucleotide-sensitive channel 1A	1207	https://www.ncbi.nlm.nih.gov/gene/?term=1207
MAGEF1	MAGEF1	MAGE family member F1	64110	https://www.ncbi.nlm.nih.gov/gene/?term=64110
DDOST	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	1650	https://www.ncbi.nlm.nih.gov/gene/?term=1650
EIF3L	EIF3L	eukaryotic translation initiation factor 3 subunit L	51386	https://www.ncbi.nlm.nih.gov/gene/?term=51386
SLAMF8	SLAMF8	SLAM family member 8	56833	https://www.ncbi.nlm.nih.gov/gene/?term=56833
RBM3	RBM3	RNA binding motif protein 3	5935	https://www.ncbi.nlm.nih.gov/gene/?term=5935
ENSA	ENSA	endosulfine alpha	2029	https://www.ncbi.nlm.nih.gov/gene/?term=2029
PRMT1	PRMT1	protein arginine methyltransferase 1	3276	https://www.ncbi.nlm.nih.gov/gene/?term=3276
FKBP3	FKBP3	FKBP prolyl isomerase 3	2287	https://www.ncbi.nlm.nih.gov/gene/?term=2287
BAZ1A	BAZ1A	bromodomain adjacent to zinc finger domain 1A	11177	https://www.ncbi.nlm.nih.gov/gene/?term=11177
PKIG	PKIG	cAMP-dependent protein kinase inhibitor gamma	11142	https://www.ncbi.nlm.nih.gov/gene/?term=11142
FKBP11	FKBP11	FKBP prolyl isomerase 11	51303	https://www.ncbi.nlm.nih.gov/gene/?term=51303
ANKRD65	ANKRD65	ankyrin repeat domain 65	441869	https://www.ncbi.nlm.nih.gov/gene/?term=441869
TACSTD2	TACSTD2	tumor associated calcium signal transducer 2	4070	https://www.ncbi.nlm.nih.gov/gene/?term=4070
PSMA1	PSMA1	proteasome 20S subunit alpha 1	5682	https://www.ncbi.nlm.nih.gov/gene/?term=5682
TUBA1B	TUBA1B	tubulin alpha 1b	10376	https://www.ncbi.nlm.nih.gov/gene/?term=10376
GPRC5D	GPRC5D	G protein-coupled receptor class C group 5 member D	55507	https://www.ncbi.nlm.nih.gov/gene/?term=55507
MRPS27	MRPS27	mitochondrial ribosomal protein S27	23107	https://www.ncbi.nlm.nih.gov/gene/?term=23107
PNMA1	PNMA1	PNMA family member 1	9240	https://www.ncbi.nlm.nih.gov/gene/?term=9240
MANF	MANF	mesencephalic astrocyte derived neurotrophic factor	7873	https://www.ncbi.nlm.nih.gov/gene/?term=7873
G6PC3	G6PC3	glucose-6-phosphatase catalytic subunit 3	92579	https://www.ncbi.nlm.nih.gov/gene/?term=92579
STRAP	STRAP	serine/threonine kinase receptor associated protein	11171	https://www.ncbi.nlm.nih.gov/gene/?term=11171
PSMD8	PSMD8	proteasome 26S subunit, non-ATPase 8	5714	https://www.ncbi.nlm.nih.gov/gene/?term=5714
ARL1	ARL1	ADP ribosylation factor like GTPase 1	400	https://www.ncbi.nlm.nih.gov/gene/?term=400
HNRNPR	HNRNPR	heterogeneous nuclear ribonucleoprotein R	10236	https://www.ncbi.nlm.nih.gov/gene/?term=10236
FARS2	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	10667	https://www.ncbi.nlm.nih.gov/gene/?term=10667
CCT6A	CCT6A	chaperonin containing TCP1 subunit 6A	908	https://www.ncbi.nlm.nih.gov/gene/?term=908
HSPA8	HSPA8	heat shock protein family A (Hsp70) member 8	3312	https://www.ncbi.nlm.nih.gov/gene/?term=3312
ADIPOR1	ADIPOR1	adiponectin receptor 1	51094	https://www.ncbi.nlm.nih.gov/gene/?term=51094
HMOX2	HMOX2	heme oxygenase 2	3163	https://www.ncbi.nlm.nih.gov/gene/?term=3163
PFDN1	PFDN1	prefoldin subunit 1	5201	https://www.ncbi.nlm.nih.gov/gene/?term=5201
LDHB	LDHB	lactate dehydrogenase B	3945	https://www.ncbi.nlm.nih.gov/gene/?term=3945
RSL1D1	RSL1D1	ribosomal L1 domain containing 1	26156	https://www.ncbi.nlm.nih.gov/gene/?term=26156
CHST12	CHST12	carbohydrate sulfotransferase 12	55501	https://www.ncbi.nlm.nih.gov/gene/?term=55501
YWHAQ	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	10971	https://www.ncbi.nlm.nih.gov/gene/?term=10971
MARCKSL1	MARCKSL1	MARCKS like 1	65108	https://www.ncbi.nlm.nih.gov/gene/?term=65108
VBP1	VBP1	VHL binding protein 1	7411	https://www.ncbi.nlm.nih.gov/gene/?term=7411
SELL	SELL	selectin L	6402	https://www.ncbi.nlm.nih.gov/gene/?term=6402
TMEM109	TMEM109	transmembrane protein 109	79073	https://www.ncbi.nlm.nih.gov/gene/?term=79073
CALM2	CALM2	calmodulin 2	805	https://www.ncbi.nlm.nih.gov/gene/?term=805
YBX1	YBX1	Y-box binding protein 1	4904	https://www.ncbi.nlm.nih.gov/gene/?term=4904
ZNF296	ZNF296	zinc finger protein 296	162979	https://www.ncbi.nlm.nih.gov/gene/?term=162979
PRDX2	PRDX2	peroxiredoxin 2	7001	https://www.ncbi.nlm.nih.gov/gene/?term=7001
CLPX	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit X	10845	https://www.ncbi.nlm.nih.gov/gene/?term=10845
SH3BGRL	SH3BGRL	SH3 domain binding glutamate rich protein like	6451	https://www.ncbi.nlm.nih.gov/gene/?term=6451
GORASP2	GORASP2	golgi reassembly stacking protein 2	26003	https://www.ncbi.nlm.nih.gov/gene/?term=26003
IFI16	IFI16	interferon gamma inducible protein 16	3428	https://www.ncbi.nlm.nih.gov/gene/?term=3428
HSPA5	HSPA5	heat shock protein family A (Hsp70) member 5	3309	https://www.ncbi.nlm.nih.gov/gene/?term=3309
GHITM	GHITM	growth hormone inducible transmembrane protein	27069	https://www.ncbi.nlm.nih.gov/gene/?term=27069
IFT20	IFT20	intraflagellar transport 20	90410	https://www.ncbi.nlm.nih.gov/gene/?term=90410
TM9SF2	TM9SF2	transmembrane 9 superfamily member 2	9375	https://www.ncbi.nlm.nih.gov/gene/?term=9375
ARL2	ARL2	ADP ribosylation factor like GTPase 2	402	https://www.ncbi.nlm.nih.gov/gene/?term=402
DNAJC8	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	22826	https://www.ncbi.nlm.nih.gov/gene/?term=22826
IGLL5	IGLL5	immunoglobulin lambda like polypeptide 5	100423062	https://www.ncbi.nlm.nih.gov/gene/?term=100423062
MDH1	MDH1	malate dehydrogenase 1	4190	https://www.ncbi.nlm.nih.gov/gene/?term=4190
AQP3	AQP3	aquaporin 3 (Gill blood group)	360	https://www.ncbi.nlm.nih.gov/gene/?term=360
SRI	SRI	sorcin	6717	https://www.ncbi.nlm.nih.gov/gene/?term=6717
TMED10	TMED10	transmembrane p24 trafficking protein 10	10972	https://www.ncbi.nlm.nih.gov/gene/?term=10972
SNAP23	SNAP23	synaptosome associated protein 23	8773	https://www.ncbi.nlm.nih.gov/gene/?term=8773
CCNI	CCNI	cyclin I	10983	https://www.ncbi.nlm.nih.gov/gene/?term=10983
ECHDC1	ECHDC1	ethylmalonyl-CoA decarboxylase 1	55862	https://www.ncbi.nlm.nih.gov/gene/?term=55862
HLA-DQB2	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	https://www.ncbi.nlm.nih.gov/gene/?term=3120
AHCY	AHCY	adenosylhomocysteinase	191	https://www.ncbi.nlm.nih.gov/gene/?term=191
EIF5B	EIF5B	eukaryotic translation initiation factor 5B	9669	https://www.ncbi.nlm.nih.gov/gene/?term=9669
CCDC74A	CCDC74A	coiled-coil domain containing 74A	90557	https://www.ncbi.nlm.nih.gov/gene/?term=90557
AP3S1	AP3S1	adaptor related protein complex 3 subunit sigma 1	1176	https://www.ncbi.nlm.nih.gov/gene/?term=1176
NAP1L1	NAP1L1	nucleosome assembly protein 1 like 1	4673	https://www.ncbi.nlm.nih.gov/gene/?term=4673
PRCP	PRCP	prolylcarboxypeptidase	5547	https://www.ncbi.nlm.nih.gov/gene/?term=5547
RALY	RALY	RALY heterogeneous nuclear ribonucleoprotein	22913	https://www.ncbi.nlm.nih.gov/gene/?term=22913
CRIP3	CRIP3	cysteine rich protein 3	401262	https://www.ncbi.nlm.nih.gov/gene/?term=401262
PMPCB	PMPCB	peptidase, mitochondrial processing subunit beta	9512	https://www.ncbi.nlm.nih.gov/gene/?term=9512
